itrdb_species_code,species_name,scientific_aliases,common_names,phylogenetic_group,leaf_habit,tree_ring_structure
NONI,Nothofagus nitida,[],[],,,
NOOB,Nothofagus obliqua (Mirb.) Blume,[],"[""southern beech"", ""roble""]",,,
NOPU,Nothofagus pumilio (Poepp. & Endl.) Reiche,[],"[""lenga""]",,,
NOSO,Nothofagus solanderi (Hook f.) Oerst.,[],"[""mountain beech"", ""black beech""]",,,
NYOG,Nyssa ogeched Bartr. ex Marsh.,[],"[""Ogeechee tupelo""]",,,
NYSY,Nyssa sylvatica Marsh.,[],"[""black tupelo"", ""blackgum""]",,,
OCUS,Ocotea usambarensis Engl.,[],"[""ocotea"", ""East African camphorwood"", ""camphor""]",,,
OSCA,Ostrya carpinifolia Scop.,[],"[""hop hornbeam""]",,,
OXAR,Oxydendrum arboreum (L.) DC,[],"[""sourwood""]",,,
PARI,Parapiptadenia rigida Benth.,[],[],,,
PAAU,Parkia auriculata,[],[],,,
PAPR,Parkinsonia praecox (Ruiz & Pav.) Hawkins,[],[],,,
PATO,Paulownia tomentosa (Thumb.) Steud.,[],"[""empress tree""]",,,
PECA,Peronema canescens Jack.,[],"[""koeroes"", ""sunkai""]",,,
PEBO,Persea borbonia (L.) Spreng.,[],"[""shorebay"", ""redbay""]",,,
PELI,Persea lingue Nees,[],"[""lingue""]",,,
PELN,Petrophile linearis R.Br.,[],"[""pixie mops""]",,,
PBPO,Phoebe porfiria Mez.,[],[],,,
PHAL,Phyllocladus alpinus Hook. f.,"[""Phyllocladus trichomanoides D. Don var. alpinus (Hook. f.) Parl.""]","[""mountain toatoa"", ""alpine celery top pine""]",,,
PHAS,Phyllocladus aspleniifolius (Labill.) Hook. f.,[],"[""celery top pine""]",,,
PHGL,Phyllocladus glaucus Carrière,"[""Phyllocladus aspleniifolius (Labill.) Hook. f.""]","[""toatoa""]",,,
PHTR,Phyllocladus trichomanoides D. Don,[],"[""tanekaha""]",,,
PCAB,Picea abies (L.) H. Karst.,[],"[""Norway spruce""]",gymnosperm,evergreen,non-porous
PCAJ,Picea ajanensis,"[""Picea jezoensis""]",[],,,
PCAS,Picea asperata Mast.,[],"[""dragon spruce""]",gymnosperm,evergreen,non-porous
PCBA,Picea balfouriana,[],[],gymnosperm,evergreen,non-porous
PCBR,Picea brachytyla (Franch.) Pritz.,[],[],gymnosperm,evergreen,non-porous
PCCA,Picea cajanensis Lindl. et Gord.,[],[],gymnosperm,evergreen,non-porous
PCCH,Picea chihuahuana Martinez,[],"[""chihuahua spruce""]",gymnosperm,evergreen,non-porous
PCEN,Picea engelmannii Parry ex Engelm.,[],"[""Engelmann spruce""]",gymnosperm,evergreen,non-porous
PCEX,Picea excelsa Link,"[""Picea abies (L.) Karst""]","[""Norway spruce""]",,,
PCGL,Picea glauca (Moench) Voss,[],"[""white spruce""]",gymnosperm,evergreen,non-porous
PCGN,Picea glehnii (Fr. Schmidt) Mast.,[],"[""Sakhalin spruce""]",gymnosperm,evergreen,non-porous
PCJE,Picea jezoensis (Sieb. & Zucc.) Carr.,[],"[""Yezo spruce"", ""Hondo spruce""]",gymnosperm,evergreen,non-porous
PCLI,Picea likiangensis (Franchet) Pritzel,[],"[""Likiang spruce""]",gymnosperm,evergreen,non-porous
PCMA,"Picea mariana (Mill.) Britton, Sterns, & Poggenb.",[],"[""black spruce""]",gymnosperm,evergreen,non-porous
PCOB,Picea obovata Ledeb.,"[""Picea abies (L.) H. Karst. subsp. obovata (Ledeb.) Hult\u00e9n""]","[""Siberian spruce"", ""Norway spruce""]",gymnosperm,evergreen,non-porous
PCOM,Picea omorika (Pancic) Purk.,[],"[""Serbian spruce"", ""Pancic spruce""]",gymnosperm,evergreen,non-porous
PCOR,Picea orientalis (L.) Peterm.,[],"[""eastern spruce"", ""Oriental spruce""]",gymnosperm,evergreen,non-porous
PCPU,Picea pungens Engelm.,[],"[""blue spruce"", ""Colorado spruce""]",gymnosperm,evergreen,non-porous
PCPR,Picea purpurea Mast.,[],[],gymnosperm,evergreen,non-porous
PCRU,Picea rubens Sarg.,[],"[""red spruce""]",gymnosperm,evergreen,non-porous
PCSH,Picea schrenkiana Fisch. & C.A. Mey.,[],"[""Shrenk's spruce""]",gymnosperm,evergreen,non-porous
PCSI,Picea sitchensis (Bong.) Carrière,[],"[""Sitka spruce""]",gymnosperm,evergreen,non-porous
PCSM,Picea smithiana (Wall.) Boiss.,[],"[""Himalayan spruce""]",gymnosperm,evergreen,non-porous
PCSN,Picea spinulosa (Griff.) Beissn.,[],"[""Sikkim spruce"", ""xi ma la ya yun shan""]",,,
PCSP,Picea spp. A. Dietr.,[],"[""spruce""]",gymnosperm,evergreen,non-porous
PCTI,Picea tienschanica Rupr.,[],"[""Tien-shan spruce""]",gymnosperm,evergreen,non-porous
PLUV,Pilgerodendron uviferum (D. Don) Florin,[],"[""cipres de las Guaytecas""]",,,
PIAL,Pinus albicaulis Engelm.,[],"[""whitebark pine""]",gymnosperm,evergreen,non-porous
PIAR,Pinus aristata Engelm.,[],"[""Rocky Mountain bristlecone pine""]",gymnosperm,evergreen,non-porous
PIAZ,Pinus arizonica Engelm.,[],"[""Arizona pine""]",,,
PIAM,Pinus armandii Franchet,[],"[""David's pine"", ""Armand's pine""]",gymnosperm,evergreen,non-porous
PIAY,Pinus ayacahuite Ehrenb. ex Schltdl.,[],"[""Mexican white Pine""]",,,
PIBA,Pinus balfouriana Balf.,[],"[""foxtail pine""]",gymnosperm,evergreen,non-porous
PIBN,Pinus banksiana Lamb.,[],"[""jack pine""]",gymnosperm,evergreen,non-porous
PIBR,Pinus brutia Ten.,[],"[""Calabrian pine"", ""brutia pine"", ""see kiefer""]",gymnosperm,evergreen,non-porous
PIBU,Pinus bungeana Zucc.,[],"[""lacebark pine""]",gymnosperm,evergreen,non-porous
PICN,Pinus canariensis Chr. Sm. ex DC,[],"[""Canary Island pine""]",gymnosperm,evergreen,non-porous
PICA,Pinus caribea Mor.,[],"[""Caribbean pine"", ""Cuban pine""]",gymnosperm,evergreen,non-porous
PICE,Pinus cembra L.,[],"[""Swiss stone pine"", ""Arolla pine""]",gymnosperm,evergreen,non-porous
PICM,Pinus cembroides Zucc.,[],"[""Mexican pinyon"", ""Mexican nut pine""]",gymnosperm,evergreen,non-porous
PICO,Pinus contorta Douglas ex Loudon,[],"[""lodgepole pine""]",gymnosperm,evergreen,non-porous
PICL,Pinus coulteri D.Don,[],"[""Coulter pine"", ""bigcone pine""]",gymnosperm,evergreen,non-porous
PICU,Pinus culminicola Andresen et Beaman,[],"[""Potosi Pinyon""]",,,
PIDN,Pinus densata,[],[],gymnosperm,evergreen,non-porous
PIDE,Pinus densiflora Siebold & Zucc.,[],"[""Japanese red pine""]",gymnosperm,evergreen,non-porous
PIDO,Pinus douglasiana Martínez,[],"[""Douglas pine"", ""Hayarin"", ""Ocote lacio""]",,,
PIDU,Pinus durangensis Martínez,[],"[""Durango pine"", ""Ocote"", ""Pino barb\u00f3n""]",,,
PIEC,Pinus echinata Mill.,[],"[""shortleaf pine""]",gymnosperm,evergreen,non-porous
PIED,Pinus edulis Engelm.,[],"[""pinyon"", ""Colorado pinyon""]",gymnosperm,evergreen,non-porous
PIEL,Pinus elliottii Engelm.,[],"[""slash pine""]",gymnosperm,evergreen,non-porous
PIEN,Pinus engelmannii Carr.,[],"[""Apache pine""]",gymnosperm,evergreen,non-porous
PIFL,Pinus flexilis E. James,[],"[""limber pine""]",gymnosperm,evergreen,non-porous
PIGE,Pinus gerardiana Wall. ex D. Don.,[],"[""chilgoza pine"", ""Gerard's pine""]",gymnosperm,evergreen,non-porous
PIGR,Pinus greggii Engelm. ex Parl.,[],"[""Gregg's pine"", ""Ocote""]",,,
PIHA,Pinus halepensis Mill.,[],"[""Aleppo pine"", ""Jerusalem pine""]",gymnosperm,evergreen,non-porous
PIHL,Pinus hallii,"[""Podocarpus hallii""]",[],,,
PIHR,Pinus hartwegii Lindl.,[],"[""Mexican Mountain pine""]",,,
PIHE,Pinus heldreichii Christ,[],"[""Heldreich's pine"", ""panzer fohre""]",gymnosperm,evergreen,non-porous
